	21	Amarpur	IDEA	1363922409	1368777009
	9	Amarpur	Airtel	1363998066	1368782509
	33	Amarpur	MTNL	1363900812	1368787810
	7	Dindori	Airtel	1381326400	1385834482
	31	Dindori	MTNL	1381315509	1385823609
	19	Dindori	IDEA	1381320908	1385224209
	48	Lamta	Reliance	1363300809	1372414211
	12	Lamta	Airtel	1363290053	1372410632
	36	Lamta	MTNL	1363295410	1372412411
	54	NewDelhi3	MTNL	1363010429	1375290006
	50	NewDelhi3	Airtel	1363014717	1375288206
	56	NewDelhi3	Reliance	1363027932	1375286406
	64	NewDelhi3	Reliance	1363027932	1401186644
	60	NewDelhi2	Idea	1368793823	1373954709
	58	NewDelhi2	Airtel	1368793850	1373956509
	62	NewDelhi2	MTNL	1368793888	1373952909
	11	Paraswada	Airtel	1363107237	1374856300
	23	Paraswada	IDEA	1363079405	1372062608
	35	Paraswada	MTNL	1363096872	1372082409
	32	Samnapur	MTNL	1363861590	1391601744
	44	Samnapur	Reliance	1363868709	1391601744
	10	Ukwa	Airtel	1363980991	1372059390
	22	Ukwa	IDEA	1363991710	1372052108
	34	Ukwa	MTNL	1363991710	1372052108
	74	Sikar	Airtel	1383486347	1400766364
	78	Sikar	MTNL	1387071909	1400766364
	76	Sikar	IDEA	1383478269	1400766364
	66	Hanumanpura	Airtel	1391343501	1393540234
	68	Hanumanpura	IDEA	1391343501	1399752785
	70	Hanumanpura	MTNL	1391343501	1393540234
	82	Jaipur	Airtel	1382432415	1385429409
	86	Jaipur	MTNL	1382432415	1385429409
	84	Jaipur	IDEA	1382432415	1385429409
